code_activity,name_activity,description,ar_name_activity,ar_description,subfield,field,definition
70705,Comique,,ممثل هزلي,,86,7,"Un comique est un auto-entrepreneur qui crée et interprète des spectacles humoristiques pour divertir le public. Son activité consiste à écrire des sketchs, des one-man shows et autres formes de comédie, puis à les présenter devant un auditoire live."
70704,Comédien,,ممثل كوميدي,,86,7,"Un comédien interprète des rôles théâtraux ou cinématographiques. Il peut également se produire dans des spectacles d'improvisation ou de stand-up. Il utilise sa voix, son corps et ses expressions faciales pour créer des personnages et transmettre des émotions."
70703,Clown,,مهرج,,86,7,"Animation de spectacles ou d'ateliers ludiques pour enfants ou adultes, en incarnant un personnage clownesque avec un maquillage, un costume et des accessoires excentriques, pour apporter rires et distraction."
70702,Acteur principal,,ممثل رئيسي,,86,7,"Acteur principal dans un spectacle ou une représentation, encargado de interpretar un papel determinado."
70701,Acteur,,ممثل,,86,7,"Professionnel de la scène ou du cinéma qui interprète des personnages dans des pièces de théâtre, des films ou des émissions télévisées."
70646,Xylophoniste,,عازف إكسيليفوني,,85,7,"Musicien ambulant qui joue d'un xylophone, un instrument de percussion composé de lames de bois ou de métal accordées, pour animer les rues et les lieux publics."
70645,Violoniste,,عازف الزيلوفون,,85,7,Activité musicale pour auto-entrepreneurs en Algérie consistant à jouer de l'instrument à cordes frottées qu'est le violon.
70644,Violoncelliste,,عازف الكمان,,85,7,"Musicien indépendant qui joue du violoncelle, un instrument à cordes frottées connu pour sa sonorité profonde et expressive."
70643,Tubiste / Contre tubiste,,عازف الطوبا / عازف الطوبا الكبير,,85,7,"Tubiste/Contre-tubiste en Algérie : Installateurs de canalisations (pour l'eau, le gaz, les déchets, etc.) dans les bâtiments ou sur des sites industriels. Ils peuvent également effectuer des travaux de maintenance et de réparation sur des canalisations existantes."
70642,Trompettiste,,عازف البوق,,85,7,"Un trompettiste auto-entrepreneur en Algérie est un musicien indépendant spécialisé dans le jeu de la trompette. Il propose ses services pour des prestations musicales lors d'événements privés ou publics, tels que des mariages, des concerts ou des festivals."
70641,Tromboniste,,عازف الترومبون,,85,7,"Interprète à la trompette à coulisse (instrument de musique à vent) qui anime des événements (mariages, soirées, etc.) pour auto-entrepreneurs en Algérie."
70640,Timbalier,,عازف التمبال,,85,7,"Un timbalier est une personne qui réalise des travaux d'étanchéité et d'isolation des toitures et terrasses. Il assure la pose, l'entretien et la réparation de revêtements bitumineux, synthétiques ou métalliques."
70639,Saxophoniste,,عازف الساكسفون,,85,7,"Activité artistique consistant à jouer du saxophone, instrument à vent à anche simple, dans le cadre professionnel d'un auto-entrepreneur en Algérie."
70638,Régisseur d'orchestre,,ريجيسير الأوركسترا,,85,7,"En Algérie, un régisseur d'orchestre auto-entrepreneur est un professionnel de l'événementiel spécialisé dans la gestion et la coordination des orchestres lors de concerts, spectacles et autres événements musicaux. Il veille au bon déroulement des répétitions, aux placements des musiciens et aux aspects techniques comme la sonorisation et l'éclairage."
70637,Régisseur chœurs,,ريجيسير الجوق,,85,7,"Le régisseur de chœurs est un professionnel qui assure la coordination et la gestion administrative, technique et logistique des chorales. Il veille au bon déroulement des répétitions, concerts et autres activités chorales. Il peut également être chargé de la recherche de financement, de la gestion des contrats et des relations avec les partenaires."
70636,Pianiste,,عازف البيانو,,85,7,"Animation d'événements (mariages, anniversaires, etc.) en jouant du piano pour créer une ambiance musicale propice à la célébration et au divertissement."
70635,Percussionniste,,عازف الإيقاع,,85,7,"Activité musicale consistant à jouer des instruments de percussion (tambours, cymbales, etc.), en général pour accompagner des chants ou des danses."
70634,Organiste,,عازف الأرغن,,85,7,Interprétation de musique sur des orgues à tuyaux ou électroniques.
70633,Orchestrateur,,موزع الموسيقى,,85,7,"Orchestrateur en Algérie pour auto-entrepreneurs : Personne qui coordonne des événements, des spectacles ou des campagnes multimédias. Elle est responsable de planifier, organiser et exécuter des projets, en veillant à ce que tous les éléments fonctionnent ensemble de manière cohérente et efficace."
70632,Musicien-accompagnateur,,موسيقار منوعات,,85,7,"Artiste interprète qui accompagne un ou plusieurs chanteurs ou instrumentistes principaux lors d'un concert ou d'un enregistrement. Il assure le soutien harmonique et rythmique, créant l'atmosphère musicale globale."
70631,Musicien soliste,,موسيقار مرافق,,85,7,"Musicien interprétant de la musique solo, généralement avec un instrument ou une voix, pour des événements privés ou publics tels que des concerts, des mariages et des soirées."
70630,Musicien d'orchestre,,موسيقار أوركسترا,,85,7,"Interprète de musique au sein d'un orchestre, participant à des concerts et des enregistrements."
70629,Musicien de variétés,,موسيقار منوعات,,85,7,"Activité consistant à interpréter de la musique variée, généralement populaire et accessible à un large public, lors de concerts, événements privés ou en studio d'enregistrement."
70628,Musicien,,موسيقار,,85,7,"Activité consistant à interpréter de la musique en tant qu'artiste indépendant, pour des événements privés, publics ou en ligne, en fournissant des prestations musicales telles que des concerts, des enregistrements ou des cours de musique."
70627,Joueur d'instrument ethnique ou traditionnel,,عازف على الآلة العرقية أو التقليدية,,85,7,"Activité consistant à jouer d'un instrument de musique ethnique ou traditionnel algérien, tel que le bendir, le gasba ou le tar, généralement lors de cérémonies culturelles, de mariages ou d'événements festifs."
70626,Joueur de synthétiseur,,عازف الة المزج,,85,7,"Animation musicale événementielle à l'aide d'un synthétiseur, instrument électronique permettant de reproduire et de modifier des sons."
70625,Instrumentiste,,عازف الاتي ,,85,7,"Activité consistant à jouer d'un instrument de musique dans des spectacles, des concerts ou des séances d'enregistrement. L'instrumentiste peut être spécialisé dans un ou plusieurs instruments et se produire en solo ou au sein d'un ensemble musical."
70624,Hautboïste,,عازف الة المزمار ,,85,7,"Activité artisanale qui consiste à fabriquer et à réparer des instruments à vent en bois, notamment les hautbois."
70623,Harpiste,,عازف الجينك,,85,7,"Activité consistant à jouer de la harpe, instrument à cordes pincées, lors de cérémonies, d'événements culturels ou de spectacles musicaux. Le harpiste utilise son habilité et sa connaissance de l'instrument pour produire des mélodies et des harmonies captivantes."
70622,Harmoniciste,,عازف الهارمونيكا,,85,7,"Activity qui consiste à jouer de l'harmonica, un instrument de musique à vent."
70621,Guitariste,,عازف الجيتار,,85,7,"Activité musicale consistant à jouer de la guitare, qu'elle soit classique, électrique ou folk, en solo ou en groupe, pour animer des événements, des spectacles ou des cours."
70620,Flûtiste,,عازف الناي,,85,7,"Activité d'artiste interprète, consistant à jouer de la flûte et à animer des événements musicaux ou culturels."
70619,Directeur des chœurs,,مدير الجوق,,85,7,"La direction des chœurs est une activité d'auto-entrepreneur qui consiste à diriger et à guider un groupe de chanteurs lors de répétitions et de spectacles, en leur fournissant des instructions techniques et musicales pour assurer une performance harmonieuse."
70618,Directeur artistique musique,,مدير فني للموسيقى,,85,7,"Responsable de la direction artistique et créative dans la production musicale, incluant la supervision des arrangements, de la production et de l'interprétation."
70617,Corniste,,عازف الة القرن,,85,7,"Artisan spécialisé dans la fabrication, la pose et la réparation des corniches, moulures et autres éléments décoratifs en plâtre, stuc ou polystyrène."
70616,Contrebassiste,,عازف الكمان الكبير,,85,7,"Musicien professionnel qui joue de la contrebasse, un instrument à cordes graves. Il se spécialise dans divers genres musicaux, tels que le jazz, le classique et la musique du monde."
70615,Contre bassoniste,,عازف الباصون الكبير,,85,7,"Musicien professionnel qui joue du contrebasson, un instrument à vent de la famille des bois, lors de concerts, d'enregistrements ou d'événements divers."
70614,Claveciniste,,عازف الة وترية,,85,7,"Artisan spécialisé dans la fabrication, l'accordage et la réparation de clavecins, instruments de musique à cordes pincées ancêtres du piano."
70613,Clarinettiste,,عازف الكلارينيت,,85,7,"Activité de musicien indépendant qui joue de la clarinette, un instrument à vent à anche simple, pour des événements tels que les concerts, les mariages et les représentations privées."
70612,Choriste,,مغني جوق,,85,7,"Accompagnement vocal de qualité lors d'événements musicaux divers (mariages, concerts, etc.) en tant qu'auto-entrepreneur."
70611,Chef d'orchestre,,قائد الأوركسترا,,85,7,"Le chef d'orchestre en Algérie est un artisan qui organise et dirige des spectacles musicaux. Il coordonne les musiciens, choisit le répertoire et veille à l'harmonie de l'ensemble."
70610,Chef de chœur,,قائد الجوق,,85,7,"Chef d'orchestre choral qui dirige un groupe de chanteurs, choisit les pièces musicales, les arrange et les interprète. Il est responsable des répétitions, de la mise en scène et de la qualité musicale de l'ensemble."
70609,Chanteur,,مغني,,85,7,"Un auto-entrepreneur chanteur en Algérie est un travailleur indépendant qui offre ses services musicaux à des particuliers ou à des entreprises. Il se produit en concerts, anime des événements et peut également proposer des cours de chant."
70608,Batteur,,عازف الإيقاع,,85,7,"Batteur : Professionnel itinérant qui se déplace sur les lieux de prestations (mariages, fêtes, cérémonies, etc.) pour animer musicalement les événements en jouant de la batterie."
70607,Bassoniste,,عازف الباصون,,85,7,"Bassoniste, musicien jouant du basson, instrument à vent possédant une anche double et un corps en bois percé de clés. Cet instrument émet des sons graves et moelleux."
70606,Bassiste,,عازف الباص,,85,7,"Bassiste : Musicien professionnel qui joue de la basse électrique ou contrebasse lors d'événements musicaux, de sessions d'enregistrement ou de représentations en direct."
70605,Auteur-interprète,,كاتب ومؤدي,,85,7,"Auteur-interprète : Artiste qui écrit, compose et interprète ses propres chansons, alliant écriture poétique et talent musical pour créer des œuvres originales et émouvantes."
70604,Auteur-compositeur,,كاتب وملحن,,85,7,"Création et rédaction de compositions musicales, paroles et mélodies, pour soi-même ou pour des tiers."
70603,Arrangeur musical,,ملحن الإيقاعات الموسيقية,,85,7,"Conception et réalisation d'arrangements musicaux pour des œuvres musicales, en modifiant les parties instrumentales, les harmonies et les mélodies afin d'adapter une composition à des formations spécifiques ou à des interprétations particulières."
70602,Altiste,,عازف كمان جهير/ التشيلو,,85,7,"Activité consistant à fournir des prestations musicales en jouant de l'alto lors d'événements tels que des concerts, des spectacles et des cérémonies."
70601,Accordéoniste,,عازف الأكورديون,,85,7,"Musicien spécialisé dans le jeu de l'accordéon, un instrument à vent et à clavier souvent utilisé dans les musiques folkloriques et populaires."
70508,Music manager,,مدير أعمال موسيقي,,84,7,"Gestion des carrières musicales des artistes, comprenant la gestion des contrats, les négociations de concerts, la promotion et le marketing, l'image de marque et la distribution de musique."
70507,Manager d'artiste,,مدير أعمال الفنان,,84,7,"Représentation et gestion de la carrière d'artistes (musiciens, peintres, sculpteurs, etc.), notamment en négociant des contrats, en organisant des événements et en gérant les relations publiques."
70506,Directeur de casting,,وكيل انتقاء الفنانين (كاستينغ),,84,7,"Responsable de la sélection et du recrutement d'artistes, de mannequins ou d'autres professionnels pour des productions audiovisuelles, théâtrales ou évènementielles."
70505,Agent littéraire,,وكيل أدبي,,84,7,"Un agent littéraire est un intermédiaire entre les écrivains et les maisons d'édition. Ils s'occupent de la négociation des contrats, de la promotion des œuvres et de la gestion des droits d'auteur."
70504,Agent de sportif,,وكيل رياضي,,84,7,"Agent de sportif : Intermédiaire qui représente les intérêts des sportifs professionnels, négocie les contrats et gère leur carrière."
70503,Agent de mannequin,,وكيل عارضة أزياء,,84,7,"Activité consistant à représenter des marques de mode ou de beauté en tant que mannequin pour des séances photo, des défilés ou des événements promotionnels."
70502,Agent d'artiste,,وكيل فنان,,84,7,"Un agent d'artiste en Algérie est un professionnel qui représente et promeut les artistes, tels que les chanteurs, les acteurs et les écrivains. Il négocie des contrats, gère les aspects financiers et assure la visibilité médiatique de ses clients."
70501,Agent artistique,,وكيل فني,,84,7,"Intermédiaire entre les artistes (musiciens, acteurs, etc.) et les producteurs, tourneurs ou diffuseurs. Il négocie les contrats, gère les droits et assure la promotion des artistes."
70421,Script télévision,,سكريبت تلفزيون,,83,7,"Écriture de textes pour les productions télévisuelles, tels que scénarios, dialogues et commentaires, pour le compte de sociétés de production ou de chaînes de télévision."
70420,Script cinéma,,سكريبت سينيمائي,,83,7,"Activité d'écriture de scénarios pour des productions cinématographiques ou télévisuelles, impliquant la création de l'intrigue, des personnages et des dialogues, pour une rémunération généralement basée sur un pourcentage des recettes."
70419,Script,,سكريبت ,,83,7,"Activité de transcription audio ou vidéo pour les auto-entrepreneurs en Algérie, qui consiste à convertir des enregistrements audio ou vidéo en documents écrits en français ou en arabe."
70418,Réalisateur télévision,,مخرج تلفزيوني,,83,7,"Un réalisateur télévisé est responsable de la direction artistique et technique des programmes de télévision, notamment des émissions, des documentaires et des films. Il supervise tous les aspects de la production, de la conception initiale à la post-production, assurant la cohérence visuelle et narrative du projet."
70417,Réalisateur radio,,مخرج راديو,,83,7,"Professionnel indépendant qui conçoit, réalise et produit des émissions ou contenus radiophoniques, en assurant la direction technique, éditoriale et artistique."
70416,Réalisateur principal radio,,مخرج راديو رئيسي,,83,7,"Responsable de la production et de la diffusion de programmes radiophoniques, assurant la cohérence éditoriale, artistique et technique des émissions."
70415,Réalisateur secondaire de radio,,مخرج إذاعي ثانوي,,83,7,"Activité consistant à réaliser des émissions de radio pour le compte de stations de radiodiffusion. Le réalisateur secondaire est chargé de l'enregistrement, du montage et du mixage des émissions."
70414,Réalisateur d'émission de radio,,مخرج برنامج إذاعي,,83,7,"Activité consistant à concevoir, produire et diffuser des émissions radiophoniques, en tant que travailleur indépendant."
70413,Réalisateur de vidéoclip,,مخرج فيديو كليب,,83,7,"Activité de conception, de réalisation et de production de vidéoclips pour des artistes de musique ou des entreprises."
70412,Réalisateur de téléfilm,,مخرج فيلم تلفزيوني,,83,7,"Activité consistant à réaliser des téléfilms, c'est-à-dire des œuvres audiovisuelles de fiction ou de documentaire destinées à être diffusées à la télévision."
70411,Réalisateur de plateau,,مخرج البلاتو,,83,7,"Réalisation de films, de vidéos et de programmes télévisés, comprenant la direction de la production, la gestion des acteurs et de l'équipe, et la supervision du tournage et du montage."
70410,Réalisateur de long métrage,,مخرج أفلام طويلة,,83,7,Réalisation et production de films de longue durée destinés à une distribution en salles de cinéma ou sur des plateformes de streaming.
70409,Réalisateur de documentaire,,مخرج أفلام وثائقية,,83,7,"Un réalisateur de documentaire est un professionnel qui crée des films non fictionnels basés sur des événements réels. Ils recherchent, interviewent des sujets, filment et montent du matériel pour produire des récits informatifs et engageants qui explorent des questions sociales, politiques ou culturelles."
70408,Réalisateur de court métrage,,مخرج أفلام قصيرة,,83,7,"Création et production de courts métrages, généralement d'une durée inférieure à 30 minutes, à des fins commerciales ou artistiques, pour le cinéma, la télévision ou les plateformes de streaming."
70407,Réalisateur cinéma,,مخرج سينمائي,,83,7,"Conception, réalisation et production de films cinématographiques et audiovisuels destinés à une diffusion commerciale ou non."
70406,Réalisateur audiovisuel,,مخرج سمعي بصري,,83,7,"Activité consistant à concevoir, produire et réaliser des films, vidéos et autres supports audiovisuels à des fins commerciales, éducatives ou artistiques. Elle implique l'utilisation de caméras, de logiciels de montage et de compétences techniques en production audiovisuelle."
70405,Réalisateur,,مخرج,,83,7,"Activité consistant à concevoir, organiser et diriger la production d'un film, d'une série télévisée ou d'un autre programme audiovisuel."
70404,Premier assistant réalisateur,,مساعد مخرج أول,,83,7,"Assistant chargé d'aider le réalisateur principal dans la direction, la gestion et la coordination des aspects techniques et artistiques de la production audiovisuelle."
70403,Deuxième assistant réalisateur,,مساعد مخرج ثاني,,83,7,"Assistant réalisateur auxiliaire chargé de superviser les figurants, de gérer les tâches administratives et de soutenir le premier assistant réalisateur."
70402,Assistant réalisateur radio,,مساعد مخرج إذاعي,,83,7,"Personne qui assiste le réalisateur en radio dans la préparation, la réalisation et le montage des émissions et programmes. Elle assure notamment la gestion des invités, la rédaction des éléments de liaison, le repérage des sons et la post-production."
70401,Assistant réalisateur,,مساعد مخرج,,83,7,"L'assistant réalisateur assiste le réalisateur dans toutes les phases de production d'un film ou d'une émission de télévision, notamment la pré-production, le tournage et la post-production."
70304,Metteur en scène théâtre,,مخرج عروض مسرحية,,82,7,"Mise en scène de spectacles théâtraux, coordination des acteurs et de l'équipe technique, interprétation de la pièce et transmission de la vision au public."
70303,Metteur en scène,,مخرج عروض,,82,7,"Mise en scène de spectacles, événements ou installations, pour lesquels il gère l'ensemble des aspects artistiques, techniques et logistiques."
70302,Co-metteur en scène,,مخرج مشارك في العرض,,82,7,"Collaborateur d'un metteur en scène dans l'organisation de représentations théâtrales, cinématographiques ou télévisuelles, qui assure généralement la direction des répétitions et l'assistance technique."
70301,Assistant metteur en scène,,مساعد مخرج العروض,,82,7,"L'assistant metteur en scène assiste le metteur en scène dans la préparation et la réalisation de productions théâtrales, cinématographiques ou télévisuelles. Il aide à la création de l'histoire, à la coordination des aspects techniques et à la direction des acteurs."
70235,Technicien de production audiovisuelle,,تقني الإنتاج السمعي البصري,,81,7,"Un technicien de production audiovisuelle réalise et gère l'ensemble des opérations techniques nécessaires à la production de contenus audiovisuels (films, vidéos, émissions...). Il assure la captation et le traitement des images et du son, ainsi que le montage et l'assemblage des éléments."
70234,Superviseur de production audiovisuelle,,مشرف الإنتاج السمعي البصري,,81,7,"Supervision et coordination des opérations de production audiovisuelle, notamment la planification, la budgétisation, la gestion d'équipe, la direction technique et le contrôle qualité. Assure le respect des délais, des coûts et des exigences créatives."
70233,Secrétaire de production cinéma,,سكرتير إنتاج سينمائي,,81,7,"Activité de préparation et de gestion des moyens de production cinématographiques, comprenant la recherche de financements, l'établissement de budgets, la planification du tournage et la coordination avec les différents départements."
70232,Responsable de la programmation de spectacle,,مسؤول برمجة العروض,,81,7,"Organisation et gestion de spectacles vivants (théâtre, musique, danse, etc.). Cela implique la sélection des artistes, la planification des dates et des lieux, la promotion des événements et la vente de billets."
70231,Responsable de la programmation audiovisuelle,,مسؤول البرمجة السمعية البصرية,,81,7,"Responsable de la gestion et de la planification du contenu audiovisuel (émissions, films, documentaires) pour les médias (TV, radio, web) en Algérie, en tant qu'auto-entrepreneur."
70230,Programmateur radio,,مبرمج اذاعي,,81,7,"Activité consistant à planifier, organiser et diffuser des émissions radiophoniques, y compris le choix de la musique, des invités et des sujets à traiter."
70229,Programmateur de spectacle,,مبرمج عروض,,81,7,"Programmateur de spectacle en Algérie : Indépendant qui crée et coordonne des événements culturels (concerts, pièces de théâtre, expositions) pour promouvoir et diffuser les arts et la culture. Il négocie avec les artistes, les lieux et les sponsors, gère la logistique et assure la promotion des spectacles."
70228,Producteur télévision,,منتج تلفزيوني,,81,7,Un producteur de télévision indépendant en Algérie est un entrepreneur individuel spécialisé dans la création et la réalisation de programmes télévisés. Il peut travailler en freelance ou fonder sa propre société de production.
70227,Producteur radio,,منتج إذاعي,,81,7,"Activités de production et de diffusion de programmes radiophoniques, de podcasts et autres contenus audio pour des stations de radio, des plateformes de streaming ou des clients directs."
70226,Producteur exécutif,,منتج منفذ ,,81,7,"Responsable de la planification, de l'organisation et de la coordination de la production d'un film, d'une série télévisée ou d'une autre œuvre audiovisuelle, qui gère les aspects financiers, juridiques et logistiques du projet."
70225,Producteur délégué / assistant ,,منتج مفوض/ مساعد ,,81,7,"Professionnel spécialisé dans la gestion et la coordination de projets audiovisuels et cinématographiques. Il assure la planification, la supervision et l'exécution de tous les aspects de la production, de la pré-production à la post-production."
70224,Producteur de spectacle,,منتج العروض,,81,7,"Le producteur de spectacles en Algérie est un auto-entrepreneur qui organise et finance des représentations artistiques, notamment des concerts, des pièces de théâtre et des spectacles de danse. Il se charge de la logistique, de la promotion et de la billetterie."
70223,Producteur de musique,,منتج الموسيقى,,81,7,"Activité consistant à créer, composer, arranger et produire de la musique pour des albums, des films, des publicités et d'autres supports."
70222,Producteur cinéma,,منتج سينمائي,,81,7,"Activité consistant à produire des films cinématographiques, notamment en organisant les moyens humains, techniques et financiers nécessaires à leur réalisation."
70221,Gestionnaire de programmation audiovisuelle,,مسير برمجة سمعية بصرية,,81,7,"Activité consistant à superviser le développement, la production et la diffusion de contenus audiovisuels (émissions de télévision, films, programmes en ligne), y compris la gestion des budgets, du personnel et des partenariats pour les auto-entrepreneurs en Algérie."
70220,Directeur technique et artistique audiovisuel,,مدير تقني سمعي بصري,,81,7,"Personne chargée de la direction technique et artistique de productions audiovisuelles (films, documentaires, émissions de télévision). Il supervise tous les aspects techniques de la production, de la prise de vue au montage, et veille à la qualité artistique et technique finale."
70219,Chargé de la gestion musical,,مكلف بالإدارة الموسيقية,,81,7,"Activit d'entrepreneur individuel responsable de la gestion et de la coordination des aspects musicaux d'événements, de spectacles ou de projets artistiques. Implique la planification, la sélection musicale, la direction d'artistes et la supervision de l'aspect technique."
70218,Chargé de la gestion du théâtre,,مكلف بإدارة مسرح,,81,7,"Responsable de la gestion administrative et opérationnelle d'un théâtre, notamment :

* Planification et budgétisation des spectacles et événements
* Gestion des ressources humaines et financières
* Supervision de la billetterie, de l'accueil du public et de la technique
* Promotion et communication des spectacles
* Relations publiques et partenariats"
70217,Chargé de production de spectacle,,مكلف إنتاج العروض,,81,7,"Un chargé de production de spectacle est un auto-entrepreneur algérien spécialisé dans la planification, l'organisation et la mise en œuvre de spectacles vivants. Il gère les aspects techniques, logistiques et administratifs, en veillant à la réussite de l'événement dans le respect des contraintes budgétaires et calendaires."
70216,Chargé de production cinématographique,,مكلف الإنتاج السينمائي,,81,7,"Responsable de la planification, de l'organisation et de la coordination de la production cinématographique, comprenant le développement du script, le recrutement de l'équipe, la gestion du budget et la supervision du tournage."
70215,Chargé de production audiovisuelle,,مكلف بالإنتاج السمعي البصري,,81,7,"Conception, réalisation et production de contenus audiovisuels (vidéos, films, émissions) pour des clients variés (entreprises, particuliers). Implique la gestion de projets, la création de scénarios, le tournage, le montage et la distribution."
70214,Chargé des spectacles de la musique,,مكلف بالعروض الموسيقية,,81,7,"Gestion et organisation de spectacles, concerts et événements musicaux, comprenant la programmation, la logistique, la promotion et la billetterie."
70213,Chargé des spectacles de la danse,,مكلف بالعروض الراقص,,81,7,"Organisation et gestion de représentations chorégraphiques, en collaboration avec des artistes, des théâtres et des producteurs."
70212,Chargé de ballet,,مكلف بالباليه,,81,7,"Gestionnaire des opérations et du personnel d'une compagnie de danse, supervisant les répétitions, les représentations et les tournées."
70211,Chargé d'antenne télévision,,مكلف بالبث التلفزيوني,,81,7,"Spécialiste en installation, maintenance et dépannage d'antennes de télévision. Assure la réception optimale des signaux TV pour les particuliers et les entreprises."
70210,Chargé d'antenne radio,,مكلف بالبث الإذاعي,,81,7,"Technicien spécialisé dans l'installation, la maintenance et l'exploitation d'équipements d'antennes radio, assurant une transmission et une réception optimales des signaux radio."
70209,Chargé artistique spectacle,,مكلف فني بالعرض,,81,7,"Activity for self-employed individuals in Algeria involving organizing and managing artistic events. Responsibilities include booking performers, negotiating contracts, securing venues, and promoting events."
70208,Conseiller de programme audiovisuel,,مستشار البرامج السمعية والبصرية,,81,7,"Accompagner les professionnels de l'audiovisuel dans la rédaction de dossiers de financement, le développement de projets, la recherche de co-producteurs et la mise en place de stratégies de diffusion."
70207,Assistant de production spectacle,,مساعد إنتاج ا لعرض,,81,7,"Activité d'assistance à la préparation et au déroulement de spectacles vivants, notamment la gestion des répétitions, la coordination technique, la régie et la logistique."
70206,Assistant de production audiovisuelle,,مساعد إنتاج سمعي بصري,,81,7,"Gestion de projets audiovisuels pour les auto-entrepreneurs algériens, incluant l'assistance à la production, la coordination technique, la gestion logistique et la post-production."
70205,Chargé d'orchestre,,مدير الأوركسترا,,81,7,"Responsable de l'organisation musicale, notamment de la direction d'un orchestre ou d'un ensemble lors de concerts ou d'enregistrements."
70204,Chargé de gestion de théâtre,,مكلف بإدارة المسرح,,81,7,"Gestionnaire d'un théâtre, responsable de la programmation, de la logistique, de la billetterie et des relations publiques."
70203,Chargé administrateur de production de spectacle,,مكلف اداري بإنتاج ا لعروض,,81,7,"Responsable de la logistique et de l'administration des productions de spectacles, assurant la coordination entre les différents intervenants, la gestion des contrats et des aspects financiers, et la promotion des événements."
70202,Chargé administrateur de production cinéma,,مكلف اداري بالإنتاج السينمائي,,81,7,"Gestion des tâches administratives et financières liées à la production cinématographique, notamment la gestion de budget, la planification de tournages, la coordination avec les équipes et les prestataires, et la préparation des documents juridiques."
70201,Chargé administrateur de production audiovisuelle,,مكلف اداري بالإنتاج السمعي البصري,,81,7,"Assure la gestion administrative d'une production audiovisuelle, notamment la planification, la coordination, la gestion des budgets, la communication avec les équipes et les prestataires, et la mise en œuvre des procédures de qualité."
70121,Scénariste,,كاتب سيناريو,,80,7,"Activité qui consiste à écrire des scénarios pour des films, des séries télévisées, ou des jeux vidéo. Le scénariste développe l'intrigue, les personnages, et les dialogues, et crée le contexte narratif de l'œuvre."
70120,Romancier,,كاتب روائي,,80,7,"Création et rédaction de romans, nouvelles ou autres œuvres littéraires de fiction."
70119,Poète,,شاعر,,80,7,"Activité artistique consistant à créer des poèmes, des textes littéraires caractérisés par un langage poétique, des ressources expressives et des structures rythmiques ou strophiques."
70118,Parolier,,كاتب كلمات الأغاني,,80,7,"Écriture et composition de textes pour des chansons ou d'autres œuvres musicales. Le parolier crée les paroles qui donnent vie à la musique, exprimant des émotions, racontant des histoires ou transmettant des messages."
70117,Ecrivain,,كاتب,,80,7,"L'écrivain auto-entrepreneur en Algérie est un créateur de contenus écrits, qu'ils soient littéraires, techniques ou journalistiques. Il travaille à son compte et peut proposer ses services à différents clients, tels que des maisons d'édition, des magazines ou des entreprises."
70116,Directeur d'écriture de scénarios,,مدير كتابة السيناريو,,80,7,"Rédaction de scénarios pour des films, séries télévisées et autres productions audiovisuelles."
70115,Compositeur,,ملحن,,80,7,"Activité consistant à créer, arranger et composer des musiques originales ou adapter des musiques existantes. Cela peut inclure des mélodies, des harmonies, des arrangements et des orchestrations."
70114,Biographe littéraire,,كاتب سيرة أدبية,,80,7,"Activité consistant à rédiger des biographies d'auteurs littéraires, généralement à but documentaire ou informatif."
70113,Biographe,,كاتب سير الشخصيات,,80,7,"Élaboration de biographies personnalisées et narratives pour les entrepreneurs, professionnels et particuliers, mettant en valeur leur parcours, leurs réalisations et leurs aspirations."
70112,Auteur-adaptateur,,مؤلف مقتبس,,80,7,"L'auteur-adaptateur est un auto-entrepreneur qui crée ou adapte des œuvres littéraires, artistiques ou intellectuelles originales, tout en respectant les droits d'auteur existants. Il peut écrire des livres, des articles, des pièces de théâtre, des scénarios ou adapter des œuvres existantes à de nouveaux supports ou formats."
70111,Auteur littéraire,,مؤلف أعمال أدبية,,80,7,"Création et vente d'œuvres littéraires (livres, nouvelles, poèmes, etc.), ainsi que toute activité liée à l'écriture et à la publication."
70110,Auteur humoriste,,مؤلف قصص هزلية,,80,7,"Création et représentation de spectacles d'humour pour des événements privés ou publics, avec pour objectif de divertir et faire rire le public."
70109,Auteur écrivain multimédia,,مؤلف كاتب متعدد الوسائط الإعلامية,,80,7,"Création de contenu textuel (articles, billets de blog, nouvelles, romans, etc.) pour des plateformes médiatiques, des entreprises et des particuliers via différents canaux (sites Web, réseaux sociaux, livres électroniques)."
70108,Auteur écrivain,,كاتب أدبي,,80,7,"Activité consistant à rédiger et publier des écrits originaux, notamment des romans, des nouvelles, des pièces de théâtre ou des essais. Implique l'imagination, la créativité et une maîtrise de la langue écrite."
70107,Auteur dramatique,,مؤلف درامي,,80,7,"Écriture et création de pièces de théâtre, de scénarios pour le cinéma ou la télévision, ainsi que de textes dramatiques pour la radio ou les podcasts."
70106,Auteur d'œuvre musicale avec ou sans paroles,,مؤلف كلمات أو أعمال موسيقية,,80,7,"Compositeur : Personne qui écrit des œuvres musicales, avec ou sans paroles."
70105,Auteur d'oeuvre littéraire radiodiffusée,,مؤلف الأعمال الأدبية للبث الإذاعي,,80,7,"Création et diffusion d'œuvres littéraires originales, comme des pièces de théâtre, des nouvelles et des poèmes, destinées à être diffusées à la radio."
70104,Auteur d'œuvre dramatique,,مؤلف أعمال درامية,,80,7,"Création et rédaction de pièces de théâtre, de scénarios pour le cinéma ou la télévision, de textes pour des opéras ou des ballets, et d'autres œuvres dramatiques."
